MeetID,MeetPath,Federation,Date,MeetCountry,MeetState,MeetTown,MeetName
7096,usapl/OH-2016-02,USAPL,1/16/2016,USA,OH,,2016 Energy New Year Open
7097,usapl/OH-2016-03,USAPL,2/13/2016,USA,OH,,Ohio High School State Championship
7098,usapl/OH-2016-04,USAPL,7/30/2016,USA,OH,,Ohio State Championship
7099,usapl/OH-2016-05,USAPL,2/27/2016,USA,OH,,2016 Collegiate Qualifier
7100,usapl/OH-2016-06,USAPL,4/30/2016,USA,OH,,Spring Fling at CrossFit Future
7101,usapl/OH-2016-07,USAPL,4/2/2016,USA,OH,,Zephyrs Fitness Open
7102,usapl/OH-2016-08,USAPL,6/4/2016,USA,OH,,Lift4Life Meet 2016
7103,usapl/OH-2016-10,USAPL,12/4/2016,USA,OH,,No Frills Red Hawke Open
7104,usapl/OH-2017-01,USAPL,6/3/2017,USA,OH,,2017 Ohio State Championships
7105,usapl/OH-2017-02,USAPL,6/3/2017,USA,OH,,2017 Non-Resident Ohio State Championship
7106,usapl/OH-2017-03,USAPL,4/1/2017,USA,OH,,2017 CBUS Lifting Co Spring Classic
7107,usapl/OH-2017-04,USAPL,9/9/2017,USA,OH,,CBUS Lifting Co Fall Classic
7108,usapl/OH-2017-05,USAPL,2/4/2017,USA,OH,,Beyond Limits Classic
7109,usapl/OH-2017-07,USAPL,5/6/2017,USA,OH,,2017 STS Ohio Spring Classic
7110,usapl/OH-2017-08,USAPL,11/5/2017,USA,OH,,2017 No Frills Midwest Collegiate Cup
7111,usapl/OH-2017-09,USAPL,12/2/2017,USA,OH,,2017 STS Lifts for Gifts
7112,usapl/OK-2017-01,USAPL,1/21/2017,USA,OK,,2017 Oklahoma State Championships
7113,usapl/OK-2017-03,USAPL,8/26/2017,USA,OK,,2017 OK Summer Bash
7114,usapl/OK-2018-01,USAPL,1/14/2018,USA,OK,,Oklahoma State Championships
7115,usapl/OR-2016-01,USAPL,4/2/2016,USA,OR,,Oregon State Championships
7116,usapl/OR-2017-01,USAPL,4/1/2017,USA,OR,,2017 Oregon State Championships
7117,usapl/OR-2017-02,USAPL,11/18/2017,USA,OR,,Ironside Lift for Pits
7118,usapl/PA-2013-01,USAPL,3/23/2013,USA,,,2013 PA State Powerlifting Championship
7119,usapl/PA-2014-01,USAPL,5/17/2014,USA,PA,,2014 Pennsylvania State Powerlifting Championships
7120,usapl/PA-2014-02,USAPL,1/26/2014,USA,PA,,2014 Winter Open / NE Regional / Raw Collegiate PL/BP/DL Championships
7121,usapl/PA-2014-04,USAPL,2/15/2014,USA,PA,,Northeast Collegiate Conference Championship
7122,usapl/PA-2014-06,USAPL,8/23/2014,USA,PA,,2014 Summer BP & PL Championships
7123,usapl/PA-2014-07,USAPL,11/22/2014,USA,PA,,2014 Stars and Stripes SQ BP and DL Championships
7124,usapl/PA-2014-09,USAPL,10/11/2014,USA,PA,,Penn State Iron Lion Meet
7125,usapl/PA-2015-01,USAPL,2/14/2015,USA,PA,Scranton,NE Regional Collegiate Championships
7126,usapl/PA-2015-02,USAPL,4/18/2015,USA,PA,,PA State Championships
7127,usapl/PA-2015-03,USAPL,2/28/2015,USA,PA,,Central PA Invitational
7128,usapl/PA-2015-04,USAPL,2/20/2015,USA,PA,,2015 Glen Mills Schools Invitational
7129,usapl/PA-2015-05,USAPL,5/16/2015,USA,PA,,015 Pennsylvania State Bench Press and Deadlift
7130,usapl/PA-2015-06,USAPL,7/18/2015,USA,PA,,Gym and TLS Raw Challenge
7131,usapl/PA-2015-07,USAPL,7/26/2015,USA,PA,,2015 Brown's Gym Qualifier for Nationals
